label|clean_key|threshold_keyword|threshold_proba|keyword_except
Chính trị quôc tế|donald trump,trump,tập_cận_bình,đảng dân_chủ,đảng cộng_hoà,biểu_tình hồng_kông,biểu_tình đài_loan,đcstq,chiến_tranh thương_mại,thương_mại mỹ_trung,bầu_cử mỹ,luật đặc_khu hồng_kông,thái_văn_anh,một vành_đai một con đường,phe dân_chủ,phe cộng_hoà,nghị_sĩ,tưởng giới thạch,mao trạch đông,đặng_tiểu bình|2|0.2|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod,shop,iran,trung_đông,trung đông
Chủ quyền|bãi tư chính,biển đông,bảo_vệ biên_cương,bảo_vệ chủ_quyền,bảo_vệ tổ_quốc,bảo_vệ vùng trời,bãi tư chính,bộ ngoại_giao việt_nam,gạc ma,biển đông,tàu cá việt_nam,tàu cá,công_hàm,tàu lạ,biển đông,hoàng_sa,trường_sa,bảo_vệ vùng_trời,bảo_vệ vùng_biển đảo,bảo_vệ chủ_quyền,biển đảo,chủ_quyền,bản_đồ lưỡi bò,đường lưỡi bò,hình lưỡi bò|1|0.45|lô đất,lh,inbox,đi nghĩa_vụ,ven biển,ib,bão biển đông,biển đông cũng cạn,alo,khách_sạn,tour,lịch_trình,tự_túc, review, ra khơi,thương_lái,bđs,lịch_trình,btc,tư_vấn,giêsu,giê_su,chúa,khám_phá,bất_động_sản
Luật pháp - tố tụng|luật an_ninh mạng ,đơn_thư tố_cáo,luật đặc_khu,hồ duy_hải,kháng_nghị,kháng_án,kháng_cáo,toà_án nhân_dân tối_cao,tand,kêu oan,chống_án,nguyễn_thanh chấn,dân oan,đơn thư,vụ án,án oan,án sai,vi_phạm tố_tụng,khởi_tố,hiến_pháp,luật biểu_tình,toà_án tối_cao,ban_hành luật,niềm tin vào tư_pháp,nguyên_đơn tự_sát,ép cung,nguyễn_văn chưởng,giám_sát tối_cao,thực_trạng xét_xử,giám_đốc_thẩm,kiểm_sát tối_cao,tái_thẩm,vksndtc,oan sai,bộ phim|1|0.4|trung_quốc,zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail
Nhân vật chính trị|numbertoken sang,adcc,anhbasam,anhbataolao,ba_dũng,ba ếch,bà đào ngọc dung,bác cả lú,bùi_thế đức,bùi_thị minh hoài,bế xuân_trường,trương hoà_bình,trương minh tuấn,trương thị mai,trương tấn sang,trương tấn_sơn,trưởng ban chỉ_đạo tây_nguyên,trưởng ban dân_vận thành_uỷ,trưởng ban kinh_tế,trưởng ban tổ_chức trung_ương,nguyễn_chí vịnh,nguyễn_huy tang,nguyễn_hoà_bình,nguyễn_mạnh_hùng,nguyễn_phú trọng,nguyễn_quang thuấn,nguyễn_sinh_hùng,nguyễn_thanh_bình,nguyễn_thanh_sơn,nguyễn_thiện nhân,nguyễn thị kim_ngân,nguyễn_tuấn phong,nguyễn_tấn_dũng,nguyễn_tấn thử,nguyễn_viết thông,nguyễn_văn bình,nguyễn_văn nên,nguyễn_văn thạo,nguyễn_xuân fuck,nguyễn_xuân phúc,nguyễn_xuân thắng,chủ_nhiệm ub atgt,chủ_nhiệm ubatgt,chủ_nhiệm uỷ_ban,chủ_tịch công_đoàn tt tt việt_nam,chủ_tịch hđnd,chủ_tịch hội nhà_báo,chủ_tịch hội_đồng,chủ_tịch mttq huyện,chủ_tịch mặt_trận tổ_quốc việt_nam,chủ_tịch nước,chủ_tịch qh,chủ_tịch tỉnh,chủ_tịch ubnd,chủ_tịch ubtư,chủ_tịch uỷ_ban,cao đức phát,phó chủ_nhiệm thường_trực,phó chủ_tịch chuyên_trách hội_đồng,phó chủ_tịch hội_đồng dân_tộc,phó chủ_tịch thường_trực hội_đồng,phó chủ_tịch tỉnh,phó chủ_tịch ubnd,phó chủ_tịch uỷ_ban_nhân_dân,phó giám_đốc công_an,phó tgđ công_ty cp hưng lộc phát,phó trưởng ban,phó tổng tham_mưu_trưởng,chánh văn_phòng,chánh_án,fuck niểng,fuck niễng,fuck vẹo,võ_văn dung,võ_văn kiệt,võ_văn phuông,võ_văn thưởng,vũ_văn hiền,vũ đức đam,vương đình huệ,đinh la thăng,đinh thế huynh,ông chủ_tịch,ông_dũng,ông huệ,ông_hùng,ông phó chủ_tịch,ông phúc,ông thưởng,ông trọng,ông tô lâm,tòng thị phóng,tô lâm,tô quang thu,trần cẩm_tú,trần quốc vượng,trần_văn_hiếu,trần_văn tuý,trần đơn,trần đại quang,trần đắc lợi,trịnh bá_phương,trịnh bá tư,trịnh đình_dũng,trọng bán nước,trọng hèn,trọng lú,trọng điên,trọng độc_tài,tổng_giám_mục,tổng_giám_đốc tổng_công_ty viễn_thông mobifone,tổng_giám_đốc u i logistics,tổng kiểm_toán nhà_nước,tổng_tham_mưu_trưởng,tổng_thư_ký hội tiêu_chuẩn,tổng_thư_ký kiêm uỷ_viên thường_trực hội_đồng,tổng_tư_lệnh,phúc niểng,phúc phản_phúc,phúc tham_ô,phúc vô_phúc,phúc vô_phước,phúc vẹo,phúc đầu hói,phúc đầu nghiêng,phúc đầu niêng,phạm bình_minh,phạm minh chính,phạm_văn linh,phạm_văn túc,phắc hói,phucantap,phucdaunieng,phucvophuoc,hoàng bình_quân,hoàng trung_hải|1|0.5|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod
Sai phạm|chạy chức,chạy quyền,bằng_cấp giả,lạm_dụng chức_quyền,lợi_dụng chính_sách,rửa_tiền,kết_luận thanh_tra,kết_luận kiểm_tra,kết_luận kiếm toán,nhận hối_lộ,kê_khai tài_sản,đề_bạt không đúng quy_trình,công_tác cán_bộ,tham_nhũng,lãng_phí,quan_liêu,mất dân_chủ,dân_chủ hình_thức,rửa_tiền,lợi_ích nhóm,vụ án tham_nhũng,vụ án kinh_tế,lạm_dụng chức_quyền,kỷ_luật đảng,khai_trừ đảng,bổ_nhiệm thần_tốc,khiển_trách,sai_phạm,thanh_tra|1|0.2|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod
Tôn giáo - tín ngưỡng|phật_giáo,công_giáo,tin lành,cao đài,hoà_hảo,đạo lạ,đạo mới,hồi_giáo,tôn_giáo,tín_ngưỡng,tình_hình nhân_quyền,tự_do tôn_giáo,mê_tín dị_đoan,hủ_tục,pháp luân công,tà_đạo,lợi_dụng tôn_giáo,nhà_thờ giáo_xứ thái_hà,nhân_quyền việt_nam,đàn_áp nhân_quyền,vi_phạm luật tín_ngưỡng,vi_phạm pháp_luật tôn_giáo,đàn_áp nhân_quyền,đấu_tranh nhân_quyền,phao lô,phaolô,kích_động giáo_dân,lôi_kéo giáo_dân|2|0.2|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod
Tư tưởng tiêu cực - chống phá nhà nước|chống_phá,mị_dân,thế_lực thù_địch,tự diễn_biến,tự chuyển_hoá,thù_địch,bò đỏ,dlv,dư_luận_viên,xuyên_tạc,kính động,cứu_quốc,phần_tử,bạo_động,quốc hận,giãy_chết,luận_điệu,trọng lú,ông trọng,trọng bán nước,trọng độc_tài,bác cả lú,fuck niễng,nguyễn_xuân fuck,phúc niểng,fuck niểng,fuck thủ_tướng,cầm_quyền,lũ bò đỏ,lũ cộng_sản,numbertoken_dũng,ba_dũng,ba ếch,ác với dân,đấu_tranh nhân_quyền,hèn với giặc,chế_độ độc đảng,xuống_đường biểu_tình,diễn_biến_hoà_bình,phản_động,đa đảng,đa_nguyên chính_trị,việt tân,việt_nam lâm_thời,lật_đổ chế_độ,hành_vi bán nước,trung cộng,nhà yêu nước,tù_nhân lương_tâm,lật_đổ chính_quyền,chống nhà_nước,tự_do dân_chủ,vịt cộng,việt cộng,ngô đình diệm|1|0.2|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod,lh
Tổ chức nhà nước|báo hải_quân,báo quân_chủng,ban_chấp_hành trung_ương,ban chỉ_đạo trung_ương,ban dân_vận,ban khoa_giáo trung_ương,btgtw,bqp,tiểu_ban kinh_tế,tiểu_ban văn_hoá và xây_dựng con_người,tiểu_đoàn,đoàn numbertoken,đoàn an điều_dưỡng numbertoken,đoàn_chủ_tịch đại_hội,đoàn k,đoàn phòng_không,đoàn đo_đạc biên vẽ hải_đồ và nghiên_cứu biển,tạp_chí kỹ_thuật và trang_bị,tạp_chí thông_tin đối_ngoại,tạp_chí đối_ngoại,ban khoa_học giáo_dục trung_ương,ban kinh_tế trung_ương,ban kinh_tế tw,ban kinh_tế tư,ban nội_chính,ban qlda numbertoken,ban qlda vq,ban quản_lý dự_án numbertoken,ban quản_lý dự_án numbertoken,ban quản_lý dự_án numbertoken,ban quản_lý dự_án numbertoken,ban tgtw,ban tuyên_huấn,ban tư_tưởng,ban tổ_chức trung_ương,ban tổ_chức tư,ban tổng_kết lịch_sử,ban văn giáo trung_ương,ban văn_hoá giáo_dục trung_ương,ban văn_hoá văn_nghệ trung_ương,ban văn_hoá trung_ương,ban đối_ngoại,bch trung_ương,bct,binh_chủng,binh_đoàn,nan,bộ công_an,bộ giao_thông,bộ gt vt,bộ gtvt,bộ lao_động,bộ ngoại_giao,bộ_ngành,bộ tham_mưu,bộ thông_tin và truyền_thông,bộ_trưởng,bộ tt tt,bộ tài_chính,bộ_tư_lệnh,bộ tổng_tham_mưu,bộ xây_dựng,nan,công_ty numbertoken,công_ty numbertoken,công_ty numbertoken,công_ty numbertoken,công_ty numbertoken,công_ty cao_su numbertoken,công_ty cp xi_măng x,công_ty cp đầu_tư và xây_lắp tây_hồ,công_ty cà_phê numbertoken,công_ty cơ_khí chính_xác numbertoken,công_ty cơ_khí chính_xác numbertoken,công_ty cơ_khí chính_xác numbertoken,công_ty cơ_khí chính_xác numbertoken,công_ty cơ_khí chính_xác numbertoken,công_ty cơ_khí_hoá chất numbertoken,công_ty cơ_khí_hoá chất numbertoken,công_ty cơ_điện hoá_chất numbertoken,công_ty cơ_điện và vật_liệu nổ numbertoken,công_ty cổ_phần numbertoken,công_ty cổ_phần numbertoken,công_ty cổ_phần numbertoken,công_ty cổ_phần numbertoken,công_ty cổ_phần vật_tư tổng_hợp và phân_bón hoá_sinh,công_ty duyên_hải,công_ty dụng_cụ điện numbertoken,công_ty hacota,công_ty hoá_chất numbertoken,công_ty hoá_chất numbertoken,công_ty quang_điện điện_tử numbertoken,công_ty thiết_kế và tư_vấn xây_dựng công_trình hàng_không,công_ty tnhh một thành_viên cơ_khí numbertoken,công_ty trường an,công_ty việt bắc,công_ty điện_tử sao mai,công_ty đóng_tàu numbertoken,công_ty đóng_tàu hồng_hà,công_ty đầu_tư xây_dựng vạn tường,công_ty ứng_dụng kĩ_thuật công_nghệ_cao,cục numbertoken,cục numbertoken,cục numbertoken,cục numbertoken,cục numbertoken,cục numbertoken,cục numbertoken,cục bản_đồ,cục chính_sách,cục cán_bộ,cục công_nghệ_thông_tin,cục cơ_yếu,cục cứu_hộ cứu nạn,cục cửa_khẩu,cục doanh_trại,cục dân_quân_tự_vệ,cục dân_vận,cục huấn_luyện đào_tạo,cục hậu_cần,cục kinh_tế,cục kế_hoạch và đầu_tư,cục kỹ_thuật,cục nghiệp_vụ và pháp_luật,cục nhà_trường,cục phòng_chống ma_tuý,cục phòng_không lục_quân,cục quân_huấn,cục quân_khí,cục quân_lực,cục quân_nhu,cục quân_y,cục quản_lý công_nghệ,cục quản_lý kỹ_thuật nghiệp_vụ mật_mã,cục thi_hành án,cục tiêu_chuẩn đo_lường chất_lượng,cục tuyên_huấn,cục tài_chính,cục tác_chiến,cục tác_chiến điện_tử,cục tổ_chức,cục vận_tải,cục xe_máy,cục xăng_dầu,cục đối_ngoại,cơ_quan nhà_nước,cơ_quan nội_chính,cơ_quan trung_ương,cơ_quan trực_thuộc,kho xăng_dầu k,nhà_máy a,nhà_máy a,nhà_máy a,nhà_máy cơ quang điện z,nhà_máy sửa_chữa khí_tài phòng_không a,nhà_máy sửa_chữa máy_bay a,nhà_máy sửa_chữa máy_bay a,nhà_máy sửa_chữa máy_bay a,nhà_máy sửa_chữa máy_bay a,nhà_máy sửa_chữa ra đa,nhà_máy thiết_bị điện_tử a,nhà_máy x,nhà_máy x,nhà_máy x,nhà_máy x,nhà_máy x,nhà_máy x,nhà_máy x,nhà_máy x,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,nhà_máy z,trung_tâm numbertoken,trung_tâm numbertoken,trung_tâm numbertoken,trung_tâm gìn_giữ hoà_bình việt_nam,trung_tâm huấn_luyện cảnh_sát biển,trung_tâm nhiệt_đới việt nga,trung_tâm qlhv và bd cán_bộ,trung_tâm ra đa cảnh_giới biển tầm xa,trung_tâm t,trung_tâm thông_tin cảnh_sát biển,trường_bắn quốc_gia khu_vực numbertoken,trường cao_đẳng công_nghệ và kỹ_thuật ô_tô,trường cao_đẳng nghề số numbertoken,trường cao_đẳng nghề số numbertoken,trường cao_đẳng nghề số numbertoken,trường cao_đẳng nghề số numbertoken,trường cao_đẳng nghề số numbertoken,trường_phái trần quốc vượng,trường sĩ_quan,trường trung_cấp numbertoken,trường trung_cấp biên_phòng,trường trung_cấp kỹ_thuật miền trung,trường trung_cấp kỹ_thuật quân_khí,trường trung_cấp nghề số numbertoken,trường trung_cấp nghề số numbertoken,trường trung_cấp nghề số numbertoken,trường đại_học trần_đại_nghĩa,xí_nghiệp liên_hợp z,xí_nghiệp z,xưởng công_binh,xưởng thông_tin,xưởng x,xưởng x,xưởng x,xưởng x,xưởng ô_tô x,tổng_công_ty numbertoken,tổng_công_ty numbertoken,tổng_công_ty numbertoken,tổng_công_ty ba son,tổng_công_ty hatuco,tổng_công_ty hợp_tác kinh_tế,tổng_công_ty mhdi,tổng_công_ty secotex pades numbertoken numbertoken,tổng_công_ty sông thu,tổng_công_ty thái_sơn,tổng_công_ty tân_cảng sài_gòn,tổng_công_ty vaxuco,tổng_công_ty xây_dựng công_trình hàng_không,tổng_công_ty xây_dựng lũng lô,tổng_công_ty đông bắc,tổng_cục,vụ báo_chí,vụ chính_sách cán_bộ,vụ các vấn_đề xã hộ,vụ công_nghiệp,vụ giáo_dục và đào_tạo,vụ iv,vụ khoa_học và công_nghệ,vụ kinh_tế tổng_hợp,vụ nga,vụ nông_nghiệp,vụ pháp_chế,vụ thông_tin đối_ngoại,vụ trung_quốc,vụ trung_tâm thông_tin kinh_tế,vụ trung đông,vụ trung_ương,vụ tuyên_truyền,vụ tây âu,vụ tổ_chức,vụ tổng_hợp,vụ_việc phức_tạp,vụ văn_hoá,vụ xã_hội,vụ án,vụ đào_tạo,vụ đông nam á,vụ địa_phương,vụ đối_ngoại nhân_dân,hạm_đội cảnh_sát biển,học_viện biên_phòng,học_viện hải_quân,học_viện kỹ_thuật mật_mã,học_viện lục_quân,học_viện phòng_không không_quân,viện numbertoken,viện numbertoken,viện numbertoken,viện numbertoken,viện công_nghệ,viện cơ_cấu chiến_lược,viện_kiểm_sát,viện ksnd,viện kỹ_thuật hải_quân,viện kỹ_thuật phòng_không,viện nghiên_cứu chiến_lược,viện nghiên_cứu dư_luận xã_hội,viện thuốc phóng,viện vũ_khí,vksnd tối_cao,bảo_tàng quân_chủng,bảo_tàng,tổng_cục|1|0.4|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod,lh,bộ phim
Tổ chức nhân sự|đại_hội,đề_bạt,bổ_nhiệm,trao quyết_định,luân_chuyển cán_bộ,khen_thưởng cán_bộ,kỷ_luật cán_bộ,miễn_nhiệm,tập_huấn cán_bộ,quy_hoạch cán_bộ,luân_chuyển cán_bộ,từ_chức,thăng chức,thôi giữ chức_vụ,tinh_giản biên_chế,điều_động cán_bộ,ngạch công_chức,công_chức,nội_chính,lão_thành cách_mạng,luân_chuyển,đại_hội các bô_lão lẩm_cẩm,đại_hội côn_đồ toàn_quốc,đại_hội mỵ dân,tranh giải tbt,đại_hội đảng,quy_hoạch cán_bộ,thôi giữ chức_vụ,chức_danh cán_bộ,bãi_nhiệm,bổ_nhiệm thần_tốc,bồi_dưỡng cán_bộ,chăm_sóc sức_khoẻ cán_bộ,chuẩn_hoá tiêu_chuẩn chức_danh,kỷ_luật khiển_trách,thôi giữ chức_vụ,tinh_giản biên_chế|2|0.2|trung_quốc,tq,tập_cận_bình,liên_hệ,lh,cực rẻ,zalo,sđt,ib,goị ngay,alo,từ trần,lễ viếng,quốc,zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod,shop,iran tang,từ_trần,lễ_viếng,quốc_tang,bộ phim
Y tế|bảo_hiểm_y_tế,dịch viêm phổi,đại_dịch viêm phổi,y_đức,cách_ly,giãn cách,covid,y_tế,corona,coronavirus,thuốc giả,chất_lượng khám_chữa bệnh,thuốc kém chất_lượng,ngộ_độc tập_thể,chất_lượng thuốc,quản_lý thuốc,bhyt,phong_bì lót_tay,vấn_nạn phong_bì,phong_bì bệnh_viện,nghề y,đại_dịch|1|0.3|zalo,hotline,freeship,ship,liên_hệ,inbox,ib,giải_thưởng,bill,free,xin_việc,mail,inbox,thanh_lý,xả lỗ,mien ship,cod,lh,khách_hàng,website,bài_thuốc,shop,ctv,bán nhà,mặt tiền
